entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_publicacion,origen_barrido,grupo,ambito,cuenta_indicador,nivel_relacion,motivo_relacion,regla_persona_natural,anterior_al_sismo,plataforma,es_ungrd,fecha_efectiva,revisada,revision_nota,revision_revisor,revision_fecha,primera_vez_visto,ultima_revision
GOBERNACION DEL VALLE - SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA,890399029,Valle del Cauca,No Definido,Territorial,Centralizada,CO1.REQ.10902003,1.410-19.13-9970,704258359,CO1.BDOS.10718202,FRANKY CEDIEL PICO,"PRESTAR LOS SERVICIOS COMO PROFESIONAL ESPECIALIZADO, EN LA SECRETARIA DE CONVIVENCIA Y SEGURIDAD CIUDADANA, PARA EL DESARROLLO DEL PROYECTO DE INVERSIÓN DENOMINADO:  FORTALECIMIENTO DEL SISTEMA DE INFORMACIÓN GEOGRÁFICA, GEODÉSICA Y CARTOGRÁFICA PARA EL ANÁLISIS AVANZADO DEL DELITO EN EL  VALLE DEL CAUCA .",Presentación de oferta,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,12000000,Contratación directa,Servicios profesionales y apoyo a la gestión,2,Mes(es),Cali,PRESTACIÓN DE SERVICIOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10756703,704258359,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-22,False,,,,2026-08-23 21:40:22,2026-09-06 11:23:43
GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10865464,SETIC-CD-235-2026,709403372,CO1.BDOS.10682295,PRESTACION DE SERVICIOS,"PRESTAR LOS SERVICIOS PROFESIONALES COMO INGENIERO ELECTRICO, EN LA EJECUCION DEL PROYECTO DENOMINADO: MODERNIZACIÓN DE LA INFRAESTRUCTURA TI Y SERVICIOS INFORMÁTICOS DE LA GOBERNACIÓN DEL VALLE DEL CAUCA , EN LA SECRETARÍA DE LAS TECNOLOGÍAS DE LA iNFORMACIÓN Y LAS COMUNICACIONES..",Presentación de oferta,2026-08-18T00:00:00.000,2026-08-18T00:00:00.000,2026-08-18T00:00:00.000,4000000,Contratación directa,Servicios profesionales y apoyo a la gestión,14,día(s),Cali,SECRETARIA DE LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10722844,709403372,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-18,False,,,,2026-08-19 21:33:02,2026-09-06 11:23:43
SECRETARIA DE MOVILIDAD Y TRANSPORTE,890399029,Valle del Cauca,Cali,Territorial,Descentralizada,CO1.REQ.10882653,1.340.19.13-9536-2026,704247923,CO1.BDOS.10699441,FULVIO  GALVIS,"PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO AGENTE DE TRÁNSITO A LA SECRETARÍA DE MOVILIDAD Y TRANSPORTE DENTRO DEL PROYECTO DE FORTALECIMIENTO DE ESTRATEGIAS DE MOVILIDAD SEGURA PARA LA PREVENCIÓN, LA REGULACIÓN, EL CONTROL Y LA SEGURIDAD VIAL DEL DEPARTAMENTO DEL VALLE DEL CAUCA.",Presentación de oferta,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,3500000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),No Aplica,PS MOVILIDAD,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10739593,704247923,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-20,False,,,,2026-08-21 20:26:38,2026-09-06 11:23:43
SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10865843,1.360.19.13-405,709412027,CO1.BDOS.10682744,Prestacion de Servicios,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO INGENIERO AMBIENTAL EN LA SECRETARÍA DE INFRAESTRUCTURA PARA REALIZAR EL APOYO AL PROYECTO FORTALECIMIENTO Y GESTIÓN INTEGRAL DE LA INFRAESTRUCTURA VIAL EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-17T00:00:00.000,2026-08-17T00:00:00.000,2026-08-17T00:00:00.000,16000000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Cali,Secretaria de Infraestructura y Valorización,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101604,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10720730,709412027,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-17,False,,,,2026-08-19 14:07:36,2026-09-06 11:23:43
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10973799,4161.010.32.1.1710.2026,703282152,CO1.BDOS.10789429,Contrato de Prestaciòn de Servicios de Apoyo a la Gestion,Prestación de Servicios de Apoyo a la Gestión en la Secretaría de Seguridad y Justicia,Fase de ofertas,2026-09-02T00:00:00.000,2026-09-02T00:00:00.000,2026-09-02T00:00:00.000,7102000,Contratación directa,Servicios profesionales y apoyo a la gestión,58,día(s),Cali,Secretaría de Seguridad y Justicia,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10827550,703282152,Fase de ofertas,,,,,,,departamento+nit,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-09-02,False,,,,2026-09-05 00:54:42,2026-09-06 11:23:43
SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10864003,1.360.19.13-319,709412027,CO1.BDOS.10680908,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO INGENIERO DE PETROLEOS EN LA SECRETARÍA DE INFRAESTRUCTURA PARA REALIZAR EL APOYO AL PROYECTO FORTALECIMIENTO Y GESTIÓN INTEGRAL DE LA INFRAESTRUCTURA VIAL EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,30800000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Cali,Secretaria de Infraestructura y Valorización,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10720205,709412027,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-16,False,,,,2026-08-18 14:07:12,2026-09-06 11:23:43
DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10914577,4133.010.32.1.1870-2026,702418120,CO1.BDOS.10731126,PS CALIDAD,"Prestar los servicios profesionales especializados con el fin de brindar soporte a las actividades adelantadas en el Departamento Administrativo de Gestión del Medio Ambiente - DAGMA en la ejecución de los proyectos MEJORAMIENTO DE LA INSPECCIÓN, VIGILANCIA Y CONTROL AMBIENTAL EN SANTIAGO DE CALI BP-26005379 e IMPLEMENTACIÓN DE ACCIONES PARA LA ATENCIÓN DE TRÁMITES Y SERVICIOS AMBIENTALES EN SANTIAGO DE CALI BP-26005463",Presentación de oferta,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,7826000,Contratación directa,Servicios profesionales y apoyo a la gestión,16,día(s),Cali,Departamento Administrativo de Gestion del Medio Ambiente - DAGMA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10768638,702418120,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-25,False,,,,2026-08-27 06:35:51,2026-09-06 11:23:43
DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10865172,4133.010.32.1.1747-2026,702418120,CO1.BDOS.10682066,PRESTACIÓN DE SERVICIOS PROFESIONALES,"Prestar los servicios profesionales con el fin de brindar soporte a las actividades adelantadas en el Departamento Administrativo de Gestión del Medio Ambiente - DAGMA en la ejecución del proyecto MEJORAMIENTO DE LA INSPECCIÓN, VIGILANCIA Y CONTROL AMBIENTAL EN SANTIAGO DE CALI BP-26005379.",Presentación de oferta,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,5663000,Contratación directa,Servicios profesionales y apoyo a la gestión,15,día(s),Cali,Departamento Administrativo de Gestion del Medio Ambiente - DAGMA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10720246,702418120,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-16,False,,,,2026-08-18 14:07:12,2026-09-06 11:23:43
GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10934084,SED-1317-2026,709360457,CO1.BDOS.10750515,PRESTACION DE SERVICIOS,"PRESTAR LOS SERVICIOS COMO PROFESIONAL EN LA
SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL DEL VALLE DEL CAUCA, EN EL MARCO
DEL PROYECTO OPTIMIZACIÓN DE LA ESTRATEGIA DE BÚSQUEDA ACTIVA:  SUEÑA
TU FUTURO, VEN A LA ESCUELA , PARA CONTRIBUIR AL ACCESO Y LA PERMANENCIA
DE ESTUDIANTES EN LOS MUNICIPIOS NO CERTIFICADOS DEL VALLE DEL CAUCA..",Presentación de oferta,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,4000000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,día(s),No Aplica,SECRETARIA DE EDUCACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10787902,709360457,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-27,False,,,,2026-08-30 01:52:09,2026-09-06 11:23:43
GOBVALLE - HACIENDA,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10894008,DAHFP-CDPS-0130-2026,709374037,CO1.BDOS.10709886,PRESTACIÓN DE SERVICIOS PROFESIONALES,"Prestar Servicios Profesionales como Contador Público, Especialista en Gerencia Financiera en el Departamento Administrativo de Hacienda y Finanzas Públicas -Subdirección de Contaduría del Departamento del Valle del Cauca.",Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,18000000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Cali,SUBDIRECCION TECNICA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80101706,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10754701,709374037,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-09-06 11:23:43
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10860030,DADI-DPS-1348-2026,702376260,CO1.BDOS.10676600,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,7700000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10715402,702376260,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-14,False,,,,2026-08-16 13:54:16,2026-09-06 11:23:43
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE DESARROLLO TERRITORIAL Y PARTICIPACION CIUDADANA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10896911,4173.010.32.1.0947-2026,702445644,CO1.BDOS.10712976,PRESTAR LOS SERVICIOS PROFESIONALES TIOS,Prestar los servicios profesionales en la Secretaría de Desarrollo Territorial y Participación Ciudadana.,Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,3947000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,SECRETARIA DE DESARROLLO TERRITORIAL Y PARTICIPACION CIUDADANA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10751072,702445644,Presentación de oferta,,,,,,,departamento+nit,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-09-06 11:23:43
SECRETARIA DE MOVILIDAD Y TRANSPORTE,890399029,Valle del Cauca,Cali,Territorial,Descentralizada,CO1.REQ.10865414,1.340.19.13-9410,704247923,CO1.BDOS.10682319,CRISTIAN ANDRES MACHADO PRIETO,"PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO AGENTE DE TRÁNSITO A LA SECRETARÍA DE MOVILIDAD Y TRANSPORTE DENTRO DEL PROYECTO DE FORTALECIMIENTO DE ESTRATEGIAS DE MOVILIDAD SEGURA PARA LA PREVENCIÓN, LA REGULACIÓN, EL CONTROL Y LA SEGURIDAD VIAL DEL DEPARTAMENTO DEL VALLE DEL CAUCA.",Presentación de oferta,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,3500000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),No Aplica,PS MOVILIDAD,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10720360,704247923,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-16,False,,,,2026-08-18 14:07:12,2026-09-06 11:23:43
GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10899678,SED-1247-2026,709360457,CO1.BDOS.10715865,PRESTAR LOS SERVICIOS COMO PROFESIONAL,PRESTAR LOS SERVICIOS COMO PROFESIONAL DENTRO DEL PROYECTO: FORTALECIMIENTO Y SOSTENIMIENTO DEL SERVICIO EDUCATIVO EN LOS 34 MUNICIPIOS NO CERTIFICADOS DEL   VALLE DEL CAUCA,Presentación de oferta,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,6000000,Contratación directa,Servicios profesionales y apoyo a la gestión,11,día(s),No Aplica,SECRETARIA DE EDUCACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10754028,709360457,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-21,False,,,,2026-08-22 21:40:21,2026-09-06 11:23:43
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE PAZ Y CULTURA CIUDADANA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10857551,4164.010.32.1.0779-2026,702364142,CO1.BDOS.10674525,Prestación de servicios profesionales especializados a la Secretaría de Paz y Cultura Ciudadana,"Prestación de servicios profesionales especializados a la Secretaría de Paz y Cultura Ciudadana para el desarrollo del proyecto denominado: Implementación del programa de prevención de violencias, construcción de paz y resolución pacífica de los conflictos Cali Pazcífica en el Distrito de Santiago de Cali",Presentación de oferta,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,2026-08-15T00:00:00.000,21108000,Contratación directa,Servicios profesionales y apoyo a la gestión,55,día(s),Cali,Secretaría de Paz y Cultura Ciudadana,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10718330,702364142,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-15,False,,,,2026-08-17 14:02:18,2026-09-06 11:23:43
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10862302,DADI-DPS-1249-2026,702376260,CO1.BDOS.10678901,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,2026-08-14T00:00:00.000,2500000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10717553,702376260,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-14,False,,,,2026-08-16 13:54:16,2026-09-06 11:23:43
DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10864672,4133.010.32.1.1746-2026,702418120,CO1.BDOS.10681562,PRESTACION DE SERVICIOS PROFESIONALES,Prestar los servicios profesionales con el fin de brindar soporte a las actividades adelantadas en el Departamento Administrativo de Gestión del Medio Ambiente - DAGMA en la ejecución del proyecto FORTALECIMIENTO DE LOS SERVICIOS DEL LABORATORIO Y LAS REDES DE MONITOREO AMBIENTAL EN SANTIAGO DE CALI BP-26005273,Presentación de oferta,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,11326000,Contratación directa,Servicios profesionales y apoyo a la gestión,44,día(s),Cali,Departamento Administrativo de Gestion del Medio Ambiente - DAGMA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10719758,702418120,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-16,False,,,,2026-08-18 14:07:12,2026-09-06 11:23:43
SECRETARIA DE INFRAESTRUCTURA - GOBERNACION DEL VALLE,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10863950,1.360.19.13-350,709412027,CO1.BDOS.10680841,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ADMINISTRADOR DE EMPRESAS EN LA SECRETARÍA DE INFRAESTRUCTURA PARA REALIZAR EL APOYO AL PROYECTO FORTALECIMIENTO Y GESTIÓN INTEGRAL DE LA INFRAESTRUCTURA VIAL EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,Presentación de oferta,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,2026-08-16T00:00:00.000,24000000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Cali,Secretaria de Infraestructura y Valorización,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10719913,709412027,Presentación de oferta,,,,,,,departamento+nit+objeto_territorio,Gobernación del Valle,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-16,False,,,,2026-08-18 14:07:12,2026-09-06 11:23:43
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE MOVILIDAD,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10920145,4152.010.32.1.1513-2026-,702948969,CO1.BDOS.10736397,Prestación de servicios profesionales,Prestar los servicios profesionales en el marco del proyecto denominado: FORTALECIMIENTO INSTITUCIONAL PARA LA ATENCIÓN DE USUARIOS DE LA SECRETARIA DE MOVILIDAD DEL DISTRITO DE CALI según BP-26005474,Presentación de oferta,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,14415000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Cali,SECRETARIA DE MOVILIDAD,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10777688,702948969,Presentación de oferta,,,,,,,departamento+nit,Alcaldía de Cali,Territorial,True,Contexto,contratacion ordinaria de entidad vigilada,False,False,SECOP II,False,2026-08-26,False,,,,2026-08-28 08:00:12,2026-09-06 11:23:43
