# Decisiones de revision humana sobre operaciones clasificadas por el colector.
# Se edita en github.com (boton del lapiz) y la siguiente corrida lo aplica.
#
#   identificador  el id de SECOP de la operacion: CO1.REQ.* o CO1.PCCNTR.*
#                  Sale en cada fila del tablero, debajo del numero de referencia.
#   decision       relacionado  -> pasa a "Del sismo"
#                  descartado   -> pasa a "Ordinaria"
#   nota           por que. Se muestra en el tablero: escribala para otro lector.
#
# Basta con marcar UNO de los dos ids de una operacion: la decision se propaga
# al proceso y a su contrato. Para deshacer, borre la linea: vuelve a mandar el
# clasificador.
identificador,decision,fecha,revisor,nota
CO1.REQ.10857414,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10856467,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10862152,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10864563,descartado,2026-08-20,jlzmontenegro,"persona natural, ingenieria o estudio de mercados. Engancho por la palabra mercado."
CO1.REQ.10862137,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857358,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857672,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10856990,descartado,2026-08-20,jlzmontenegro,servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia.
CO1.REQ.10862431,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10857063,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10856478,descartado,2026-08-20,jlzmontenegro,"persona natural, servicios profesionales en la Secretaria de Gestion del Riesgo. Engancho por el nombre de la dependencia."
CO1.REQ.10864572,descartado,2026-08-20,jlzmontenegro,ingenieria o estudio de mercados. Engancho por la palabra mercado.
CO1.REQ.10818411,descartado,2026-08-21,jlzmontenegro,"Adquisicion de grua y telehandler para la Base Naval ARC Malaga. Licitacion publica por Ley 1150, no urgencia manifiesta, y el objeto no menciona el sismo: equipamiento portuario planificado. Engancho por la frase maquinaria amarilla."
CO1.REQ.10860063,descartado,2026-08-21,jlzmontenegro,"Servicios profesionales en el Grupo de Biodiversidad de la CVC. Es un proceso sin contrato, asi que la regla de persona natural no puede verlo. Sin relacion con el sismo."
